test, class, N, time
MyLinkedLis vs LinkedList (indexOf), StupidMyLinkedList,40000,1663310818
MyLinkedLis vs LinkedList (indexOf), StupidMyLinkedList,50000,2061592337
MyLinkedLis vs LinkedList (indexOf), StupidMyLinkedList,60000,2595707115
MyLinkedLis vs LinkedList (indexOf), StupidMyLinkedList,70000,3022401761
MyLinkedLis vs LinkedList (indexOf), StupidMyLinkedList,80000,3435777474
MyLinkedLis vs LinkedList (indexOf), StupidMyLinkedList,90000,4034339399
MyLinkedLis vs LinkedList (indexOf), StupidMyLinkedList,100000,4551808876
MyLinkedLis vs LinkedList (indexOf), MyLinkedLis,10000,448640065
MyLinkedLis vs LinkedList (indexOf), MyLinkedLis,20000,863725320
MyLinkedLis vs LinkedList (indexOf), MyLinkedLis,30000,1254319547
MyLinkedLis vs LinkedList (indexOf), MyLinkedLis,40000,1670302204
MyLinkedLis vs LinkedList (indexOf), MyLinkedLis,50000,2060890441
MyLinkedLis vs LinkedList (indexOf), MyLinkedLis,60000,2463188401
MyLinkedLis vs LinkedList (indexOf), MyLinkedLis,70000,2831522297
MyLinkedLis vs LinkedList (indexOf), MyLinkedLis,80000,3107427424
MyLinkedLis vs LinkedList (indexOf), MyLinkedLis,90000,3393287036
MyLinkedLis vs LinkedList (indexOf), MyLinkedLis,100000,3680086551
MyLinkedLis vs LinkedList (indexOf), LinkedList,10000,283758077
MyLinkedLis vs LinkedList (indexOf), LinkedList,20000,577068706
MyLinkedLis vs LinkedList (indexOf), LinkedList,30000,882075227
MyLinkedLis vs LinkedList (indexOf), LinkedList,40000,1175756659
MyLinkedLis vs LinkedList (indexOf), LinkedList,50000,1447921157
MyLinkedLis vs LinkedList (indexOf), LinkedList,60000,1725192129
MyLinkedLis vs LinkedList (indexOf), LinkedList,70000,2045881295
MyLinkedLis vs LinkedList (indexOf), LinkedList,80000,2453123952
MyLinkedLis vs LinkedList (indexOf), LinkedList,90000,2863121787
MyLinkedLis vs LinkedList (indexOf), LinkedList,100000,3243495191
MyLinkedLis vs LinkedList (indexOf), circleCachedList,10000,2630811
MyLinkedLis vs LinkedList (indexOf), circleCachedList,20000,8378309
MyLinkedLis vs LinkedList (indexOf), circleCachedList,30000,12732496
MyLinkedLis vs LinkedList (indexOf), circleCachedList,40000,14818887
MyLinkedLis vs LinkedList (indexOf), circleCachedList,50000,16230789
MyLinkedLis vs LinkedList (indexOf), circleCachedList,60000,17840902
MyLinkedLis vs LinkedList (indexOf), circleCachedList,70000,19387563
MyLinkedLis vs LinkedList (indexOf), circleCachedList,80000,20869847
MyLinkedLis vs LinkedList (indexOf), circleCachedList,90000,22300649
MyLinkedLis vs LinkedList (indexOf), circleCachedList,100000,24292178
MyLinkedLis vs LinkedList (mix), StupidMyLinkedList,10000,311533834
MyLinkedLis vs LinkedList (mix), StupidMyLinkedList,20000,587523599
MyLinkedLis vs LinkedList (mix), StupidMyLinkedList,30000,941082528
MyLinkedLis vs LinkedList (mix), StupidMyLinkedList,40000,1305943431
MyLinkedLis vs LinkedList (mix), StupidMyLinkedList,50000,1666775105
MyLinkedLis vs LinkedList (mix), StupidMyLinkedList,60000,2050100460
MyLinkedLis vs LinkedList (mix), StupidMyLinkedList,70000,2452991095
MyLinkedLis vs LinkedList (mix), StupidMyLinkedList,80000,2858017621
MyLinkedLis vs LinkedList (mix), StupidMyLinkedList,90000,3282666423
MyLinkedLis vs LinkedList (mix), StupidMyLinkedList,100000,3724721646
MyLinkedLis vs LinkedList (mix), MyLinkedLis,10000,184815243
MyLinkedLis vs LinkedList (mix), MyLinkedLis,20000,460551208
MyLinkedLis vs LinkedList (mix), MyLinkedLis,30000,759845781
MyLinkedLis vs LinkedList (mix), MyLinkedLis,40000,1082342411
MyLinkedLis vs LinkedList (mix), MyLinkedLis,50000,1445371462
MyLinkedLis vs LinkedList (mix), MyLinkedLis,60000,1849984553
MyLinkedLis vs LinkedList (mix), MyLinkedLis,70000,2243648634
MyLinkedLis vs LinkedList (mix), MyLinkedLis,80000,2606309860
MyLinkedLis vs LinkedList (mix), MyLinkedLis,90000,2996237037
MyLinkedLis vs LinkedList (mix), MyLinkedLis,100000,3430135669
MyLinkedLis vs LinkedList (mix), LinkedList,10000,151745834
MyLinkedLis vs LinkedList (mix), LinkedList,20000,364563860
MyLinkedLis vs LinkedList (mix), LinkedList,30000,633279315
MyLinkedLis vs LinkedList (mix), LinkedList,40000,908546543
MyLinkedLis vs LinkedList (mix), LinkedList,50000,1195850526
MyLinkedLis vs LinkedList (mix), LinkedList,60000,1527806485
MyLinkedLis vs LinkedList (mix), LinkedList,70000,1892072069
MyLinkedLis vs LinkedList (mix), LinkedList,80000,2290653033
MyLinkedLis vs LinkedList (mix), LinkedList,90000,2712514367
MyLinkedLis vs LinkedList (mix), LinkedList,100000,3153135010
MyLinkedLis vs LinkedList (mix), circleCachedList,10000,1835617806
MyLinkedLis vs LinkedList (mix), circleCachedList,20000,3341087174
MyLinkedLis vs LinkedList (mix), circleCachedList,30000,5061712683
MyLinkedLis vs LinkedList (mix), circleCachedList,40000,6659614195
MyLinkedLis vs LinkedList (mix), circleCachedList,50000,8329007163
MyLinkedLis vs LinkedList (mix), circleCachedList,60000,10036736846
MyLinkedLis vs LinkedList (mix), circleCachedList,70000,11704009689
MyLinkedLis vs LinkedList (mix), circleCachedList,80000,13383994749
MyLinkedLis vs LinkedList (mix), circleCachedList,90000,15052972317
MyLinkedLis vs LinkedList (mix), circleCachedList,100000,16690061063
MyLinkedLis vs LinkedList (remove), MyLinkedLis,10000,114997699
MyLinkedLis vs LinkedList (remove), MyLinkedLis,20000,196557176
MyLinkedLis vs LinkedList (remove), MyLinkedLis,30000,272148246
MyLinkedLis vs LinkedList (remove), MyLinkedLis,40000,348068717
MyLinkedLis vs LinkedList (remove), MyLinkedLis,50000,421352607
MyLinkedLis vs LinkedList (remove), MyLinkedLis,60000,498721046
MyLinkedLis vs LinkedList (remove), MyLinkedLis,70000,578038486
MyLinkedLis vs LinkedList (remove), MyLinkedLis,80000,651199800
MyLinkedLis vs LinkedList (remove), MyLinkedLis,90000,724919971
MyLinkedLis vs LinkedList (remove), MyLinkedLis,100000,769518041
MyLinkedLis vs LinkedList (remove), StupidMyLinkedList,10000,110377324
MyLinkedLis vs LinkedList (remove), StupidMyLinkedList,20000,188492453
MyLinkedLis vs LinkedList (remove), StupidMyLinkedList,30000,262646391
MyLinkedLis vs LinkedList (remove), StupidMyLinkedList,40000,336487272
MyLinkedLis vs LinkedList (remove), StupidMyLinkedList,50000,399853359
MyLinkedLis vs LinkedList (remove), StupidMyLinkedList,60000,471922579
MyLinkedLis vs LinkedList (remove), StupidMyLinkedList,70000,546721686
MyLinkedLis vs LinkedList (remove), StupidMyLinkedList,80000,621087021
MyLinkedLis vs LinkedList (remove), StupidMyLinkedList,90000,694701331
MyLinkedLis vs LinkedList (remove), StupidMyLinkedList,100000,756637982
MyLinkedLis vs LinkedList (remove), LinkedList,10000,113841255
MyLinkedLis vs LinkedList (remove), LinkedList,20000,193471297
MyLinkedLis vs LinkedList (remove), LinkedList,30000,268152761
MyLinkedLis vs LinkedList (remove), LinkedList,40000,342300438
MyLinkedLis vs LinkedList (remove), LinkedList,50000,420000278
MyLinkedLis vs LinkedList (remove), LinkedList,60000,496413383
MyLinkedLis vs LinkedList (remove), LinkedList,70000,573450140
MyLinkedLis vs LinkedList (remove), LinkedList,80000,649033035
MyLinkedLis vs LinkedList (remove), LinkedList,90000,724555227
MyLinkedLis vs LinkedList (remove), LinkedList,100000,801817438
